-3	-3	-3	0	37932069	1082
-3	-3	-3	1	18744124	1096
-3	-3	-3	2	33066081	4419
-2	-2	-2	0	7866118	1982
-2	-2	-2	1	2966794	2412
-2	-2	-2	2	4127512	6886
-1	-1	0	0	897939	801
-1	-1	0	1	536436	1428
-1	-1	0	2	667115	3902
-1	-1	1	1	80676	326
-1	-1	1	2	238379	3706
-1	-1	2	2	148201	2448
0	0	0	0	79886	154
0	0	0	1	73699	326
0	0	0	2	87526	1109
0	0	1	1	22997	236
0	0	1	2	60742	2042
0	0	2	2	34034	1598
0	1	1	1	2885	86
0	1	1	2	12642	910
0	1	2	2	15089	1163
0	2	2	2	5210	413
1	1	1	1	96	2
1	1	1	2	466	56
1	1	2	2	855	132
1	2	2	2	635	61
2	2	2	2	162	11
