-3	-3	-3	0	1213081669763	10639
-3	-3	-3	1	12337676344792	190315
-3	-3	-3	2	2553883177288	110571
-2	-2	-2	0	221055908	6651
-2	-2	-2	1	767997177	83952
-2	-2	-2	2	197917088	44027
-1	-1	0	0	2181954	603
-1	-1	0	1	7190233	7858
-1	-1	0	2	2393767	3844
-1	-1	1	1	11514806	21672
-1	-1	1	2	8767988	26032
-1	-1	2	2	2175417	9268
0	0	0	0	50432	41
0	0	0	1	177371	435
0	0	0	2	67241	248
0	0	1	1	265197	1494
0	0	1	2	207596	1689
0	0	2	2	57005	546
0	1	1	1	86637	893
0	1	1	2	121355	1617
0	1	2	2	73983	1333
0	2	2	2	18291	358
1	1	1	1	745	7
1	1	1	2	1543	52
1	1	2	2	1461	44
1	2	2	2	705	25
2	2	2	2	163	4
