-3	-3	-3	0	507869315	130
-3	-3	-3	1	43471925	66
-3	-3	-3	2	16395446	209
-2	-2	-2	0	184564256	550
-2	-2	-2	1	14991308	269
-2	-2	-2	2	5797992	523
-1	-1	0	0	35969561	448
-1	-1	0	1	5718102	365
-1	-1	0	2	2351883	715
-1	-1	1	1	445647	93
-1	-1	1	2	549106	530
-1	-1	2	2	191210	707
0	0	0	0	6270336	308
0	0	0	1	1623341	338
0	0	0	2	703091	573
0	0	1	1	277869	185
0	0	1	2	369750	844
0	0	2	2	142703	824
0	1	1	1	24609	48
0	1	1	2	68483	388
0	1	2	2	73962	1107
0	2	2	2	29284	968
1	1	1	1	747	4
1	1	1	2	3558	37
1	1	2	2	7596	207
1	2	2	2	8352	488
2	2	2	2	3989	435
