-3	-3	-3	0	5005118339	824
-3	-3	-3	1	356824658	454
-3	-3	-3	2	81710346	1107
-2	-2	-2	0	1755958679	1980
-2	-2	-2	1	127803370	818
-2	-2	-2	2	34062800	1553
-1	-1	0	0	263668913	1582
-1	-1	0	1	36819821	1125
-1	-1	0	2	10881846	2010
-1	-1	1	1	2531870	255
-1	-1	1	2	2168712	1130
-1	-1	2	2	493434	1020
0	0	0	0	34375377	920
0	0	0	1	7995833	1048
0	0	0	2	2720539	1537
0	0	1	1	1250392	522
0	0	1	2	1364013	2038
0	0	2	2	418144	1852
0	1	1	1	101213	128
0	1	1	2	229603	818
0	1	2	2	199834	1890
0	2	2	2	67005	1644
1	1	1	1	3085	12
1	1	1	2	12821	103
1	1	2	2	23930	411
1	2	2	2	23334	866
2	2	2	2	10513	604
