-3	-3	-3	0	159131838035	529
-3	-3	-3	1	15638866466	34
-3	-3	-3	2	134296591	2
-2	-2	-2	0	6943647079	409
-2	-2	-2	1	533322004	30
-2	-2	-2	2	10161617	3
-1	-1	0	0	316184982	178
-1	-1	0	1	42859725	26
-1	-1	0	2	1380364	3
-1	-1	1	1	1839367	1
-1	-1	1	2	224256	1
-1	-1	2	2	7607	0
0	0	0	0	20860357	72
0	0	0	1	3709831	13
0	0	0	2	239628	1
0	0	1	1	275447	5
0	0	1	2	71805	2
0	0	2	2	5995	0
0	1	1	1	12778	1
0	1	1	2	8441	0
0	1	2	2	2399	0
0	2	2	2	332	0
1	1	1	1	348	0
1	1	1	2	495	0
1	1	2	2	369	0
1	2	2	2	177	0
2	2	2	2	53	0
