-3	-3	-3	0	127674142	1139
-3	-3	-3	1	43345279	1451
-3	-3	-3	2	63919360	6198
-2	-2	-2	0	32881153	3047
-2	-2	-2	1	8590104	2863
-2	-2	-2	2	11055857	7605
-1	-1	0	0	4771496	2082
-1	-1	0	1	2029090	3072
-1	-1	0	2	2423276	6527
-1	-1	1	1	242838	1048
-1	-1	1	2	681897	5284
-1	-1	2	2	439830	6160
0	0	0	0	514912	626
0	0	0	1	370345	1638
0	0	0	2	426039	3270
0	0	1	1	94539	1101
0	0	1	2	245669	3640
0	0	2	2	147962	3157
0	1	1	1	9513	296
0	1	1	2	41456	1531
0	1	2	2	58141	2617
0	2	2	2	26034	1366
1	1	1	1	329	19
1	1	1	2	1705	96
1	1	2	2	3606	298
1	2	2	2	3561	357
2	2	2	2	1226	116
