-3	-3	-3	0	1237488286775	2266
-3	-3	-3	1	88791139054	202
-3	-3	-3	2	584471226	55
-2	-2	-2	0	34844169588	1647
-2	-2	-2	1	1885094987	144
-2	-2	-2	2	27003138	32
-1	-1	0	0	1497639063	934
-1	-1	0	1	141275087	201
-1	-1	0	2	3396759	44
-1	-1	1	1	4371621	11
-1	-1	1	2	427412	8
-1	-1	2	2	11370	3
0	0	0	0	103920571	470
0	0	0	1	12691813	171
0	0	0	2	661063	41
0	0	1	1	704909	30
0	0	1	2	157549	27
0	0	2	2	11193	3
0	1	1	1	26795	11
0	1	1	2	16570	10
0	1	2	2	4384	7
0	2	2	2	612	5
1	1	1	1	702	0
1	1	1	2	962	0
1	1	2	2	701	1
1	2	2	2	345	2
2	2	2	2	101	0
